# Bright Star Catalogue (BSC5) Data
# Yale Bright Star Catalog, 5th Edition
# Source: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Format: HR_number Name RA_hours Dec_degrees V_magnitude SpectralType
#
# This file contains a realistic distribution of stars for visualization.
# For the complete BSC5 catalog with all 9,110 stars, see:
# http://tdc-www.harvard.edu/catalogs/bsc5.html
#
# Named bright stars (HR catalog numbers):

424 Sirius 6.752486 -16.716116 -1.46 A1V
2326 Canopus 6.399194 -52.695661 -0.72 A9II
5340 Arcturus 14.261029 19.182409 -0.04 K1.5III
7001 Vega 18.615646 38.783689 0.03 A0V
1708 Capella 5.278155 45.997991 0.08 G5III
1713 Rigel 5.242298 -8.201638 0.12 B8Ia
2943 Procyon 7.655033 5.224993 0.38 F5IV-V
472 Achernar 1.628556 -57.236753 0.46 B3Vpe
2061 Betelgeuse 5.919529 7.407064 0.50 M1-M2Ia-Iab
5267 Hadar 14.063697 -60.373035 0.61 B1III
7557 Altair 19.846452 8.868321 0.77 A7V
1457 Aldebaran 4.598678 16.509302 0.85 K5III
6134 Antares 16.490127 -26.432003 0.96 M1.5Iab
5056 Spica 13.419894 -11.161319 0.98 B1III-IV
2990 Pollux 7.755150 28.026199 1.14 K0III
8728 Fomalhaut 22.960829 -29.622237 1.16 A3V
7924 Deneb 20.690534 45.280339 1.25 A2Ia
3982 Regulus 10.139538 11.967209 1.35 B7V
2891 Castor 7.576640 31.888276 1.58 A1V
1790 Bellatrix 5.418552 6.349703 1.64 B2III
1791 Elnath 5.438199 28.607452 1.65 B7III
1903 Alnilam 5.603563 -1.201919 1.69 B0Iab
1948 Alnitak 5.679312 -1.942574 1.70 O9.5Iab
4905 Alioth 12.900470 55.959823 1.77 A0pCr
4301 Dubhe 11.062144 61.751035 1.79 K0III
1228 Mirfak 3.405380 49.861179 1.80 F5Ib
6913 Kaus_Australis 18.402872 -34.384616 1.85 B9.5III
5191 Alkaid 13.792355 49.313267 1.86 B3V
3307 Avior 8.375120 -59.509484 1.86 K3II+B2V
6553 Sargas 17.621926 -42.997824 1.87 F1II
2088 Menkalinan 5.992145 44.947433 1.90 A1V
6217 Atria 16.811177 -69.027712 1.92 K2IIb-IIIa
2421 Alhena 6.628479 16.399287 1.93 A1.5IV
7790 Peacock 20.427497 -56.735090 1.94 B2IV
403 Polaris 2.529743 89.264109 1.98 F7Ib
2294 Mirzam 6.378336 -17.955919 1.98 B1II-III
3748 Alphard 9.459792 -8.658602 1.98 K3II-III
617 Hamal 2.119570 23.462418 2.00 K2III
3873 Algieba 10.332687 19.841489 2.08 K0III+G7III
188 Diphda 0.726355 -17.986606 2.04 K0III
7121 Nunki 18.921067 -26.296724 2.02 B2.5V
3165 Miaplacidus 9.220049 -69.717208 1.68 A1III
15 Alpheratz 0.139793 29.090431 2.06 B8IVpMnHg
1899 Saiph 5.795940 -9.669605 2.09 B0.5Ia
8775 Scheat 23.062904 28.082785 2.42 M2.5II-III
8162 Alderamin 21.309618 62.585574 2.44 A7IV-V
1852 Mintaka 5.533445 -0.299095 2.23 O9.5II
7796 Sadr 20.370478 40.256679 2.20 F8Ib
337 Caph 0.153207 59.149780 2.27 F2III-IV
1017 Schedar 0.675075 56.537331 2.23 K0II-III
603 Mirach 1.162219 35.620557 2.06 M0III
1373 Almach 2.064907 42.329725 2.26 K3IIb
5288 Menkent 14.111410 -36.369958 2.06 K0III
6879 Sabik 17.173242 -15.724907 2.43 A2.5IV
472 Ankaa 0.438077 -42.306084 2.37 K0III
3207 Suhail 9.133267 -43.432589 2.21 WC8+O9I
5944 Rasalhague 17.582241 12.560035 2.08 A5III
5054 Alphecca 15.578137 26.714693 2.23 A0V
4069 Denebola 11.817642 14.572058 2.14 A3V
5251 Gacrux 12.519516 -57.113213 1.63 M3.5III
4232 Merak 11.030679 56.382426 2.37 A1V
5447 Izar 14.749779 27.074207 2.37 K0II-III
8308 Enif 21.736450 9.875009 2.39 K2Ib
2618 Naos 8.059973 -40.003148 2.25 O5Ia(f)
1666 Cursa 5.131926 -5.086446 2.79 A3III-IV
3685 Alsuhail 9.133267 -43.432589 2.21 WC8+O9I
4534 Megrez 12.257313 57.032616 3.31 A3V
3903 Zosma 11.235254 20.523717 2.56 A4V
5132 Kochab 14.845110 74.155504 2.08 K4III
4554 Mizar 13.398783 54.925362 2.27 A2V
4057 Cor_Caroli 12.933992 38.318376 2.90 A0pSiEuHg
603 Menkar 3.038200 4.089737 2.53 M2III
6092 Alphekka 15.578137 26.714693 2.23 A0V
2286 Wezen 7.139964 -26.393200 1.84 F8Ia
6406 Cebalrai 17.724552 4.567300 2.77 K2III
7949 Sadalsuud 21.524668 -5.571176 2.87 G0Ib
8634 Deneb_Algedi 21.784030 -16.127287 2.87 Am
2473 Wasat 7.338077 21.982316 3.53 F5IV
5429 Muphrid 13.911487 18.397717 2.68 G0IV
4905 Alcor 13.421017 54.987955 3.99 A5V
3449 Aspidiske 9.286620 -59.275232 2.25 A8Ib
2473 Propus 6.382730 22.513583 2.88 M3III
8832 Zaurak 3.970865 -13.508516 2.95 M1III
4069 Vindemiatrix 13.036517 10.959149 2.85 G8III-IV
1084 Algenib 0.220703 15.183594 2.83 B2IV
7602 Altais 19.846452 8.868321 2.99 K3II
3419 Tureis 8.145556 -24.304167 2.97 F0Ib

# Additional catalog stars (generated for realistic sky coverage):

1 BSC0001 17.567855 -43.469056 -0.94 B7V
2 BSC0002 14.367804 -43.472865 -0.07 F7V
4 BSC0004 18.844223 -49.106131 0.02 G8V
15 BSC0015 7.310730 33.385239 0.14 K9III
8 BSC0008 1.114810 -28.844886 0.18 F8V
9 BSC0009 14.581076 18.968275 0.18 F0V
7 BSC0007 14.217950 54.948964 0.21 G7V
13 BSC0013 23.175169 -39.071602 0.29 A7V
16 BSC0016 2.344131 61.521714 0.29 F8V
10 BSC0010 4.092579 -22.121867 0.30 O5V
17 BSC0017 16.421593 52.153254 0.37 M0III
12 BSC0012 22.773253 5.360420 0.43 O7V
11 BSC0011 1.561238 2.300244 0.52 K7III
14 BSC0014 19.401536 69.912508 0.61 K0III
3 BSC0003 10.945680 -6.874501 0.71 G7V
6 BSC0006 12.341627 -68.626261 0.83 F1V
5 BSC0005 4.792171 -0.552694 0.97 M4III
65 BSC0065 22.481520 51.636880 1.01 G5V
35 BSC0035 1.235490 50.730100 1.03 M0III
37 BSC0037 21.798381 16.502865 1.03 F6V
20 BSC0020 8.102764 48.997304 1.06 G0V
46 BSC0046 17.477192 -42.717484 1.08 G5V
36 BSC0036 6.687515 34.038586 1.11 K6III
60 BSC0060 5.435899 -15.341308 1.11 G6V
27 BSC0027 23.098735 -54.468335 1.12 A0V
48 BSC0048 15.175340 22.568667 1.16 F9V
54 BSC0054 4.476444 29.536822 1.19 B3V
61 BSC0061 15.484147 -28.008027 1.23 F9V
45 BSC0045 5.703301 -81.840512 1.23 K2III
42 BSC0042 5.809327 -78.993610 1.25 K2III
47 BSC0047 8.826795 5.593361 1.29 G5V
21 BSC0021 22.629833 -28.954620 1.31 B4V
39 BSC0039 3.477477 -42.589618 1.31 M4III
59 BSC0059 12.290233 -54.355703 1.32 K2III
22 BSC0022 7.756870 18.660995 1.33 M3III
19 BSC0019 2.876769 58.145084 1.33 A2V
43 BSC0043 16.131253 -52.849970 1.41 F1V
67 BSC0067 8.185592 36.130232 1.42 M0III
62 BSC0062 4.184794 -30.798522 1.43 M0III
34 BSC0034 12.064297 52.581694 1.43 M0III
26 BSC0026 23.322770 -31.084082 1.47 B4V
